"機関コード","機関種別","機関名","郵便番号","電話番号","機関所在地","ホームページ","経営主体"
"2613100961","特定健診","ひらいクリニック","617-0006","075-921-0520","京都府向日市上植野町南開３４番地３４","http://hiraiclinic-kyoto.jp/","診療所　個人"
"2613100987","特定健診・指導","医療法人　真生会　向日回生病院","617-0001","075-934-6881","京都府向日市物集女町中海道９２番地の１２","http://","病院　医療法人"
"2613101027","特定健診・指導","いしいクリニック","617-0002","075-933-9141","京都府向日市寺戸町八ノ坪１２２洛西口クリニックビル２Ｆ","http://www.kyoto.med.or.jp/","診療所　個人"
"2613101092","特定健診・指導","ゆやまクリニック","617-0002","075-925-8766","京都府向日市寺戸町七ノ坪１００番地ジオ阪急洛西ロノースレジデンス１階","http://www.kyoto.med.or.jp/","診療所　個人"
"2613101126","特定健診・指導","医療法人社団ハシイ産婦人科","617-0002","075-924-1700","京都府向日市寺戸町七ノ坪１７０番地","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613101159","特定健診・指導","山下医院","617-0003","075-921-1039","京都府向日市森本町天神森６の５","http://www.kyoto.med.or.jp/","診療所　個人"
"2613101175","特定健診","医療法人　集裕会　王子クリニック","617-0003","075-754-7555","京都府向日市森本町下森本９番地１","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613101191","特定健診","医療法人　晴楓会　洛西医院","617-0002","075-921-0609","京都府向日市寺戸町東田中瀬３－２","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613101209","特定健診・指導","池田内科クリニック","617-0006","075-932-2239","京都府向日市上植野町落堀１４－５","http://www.kyoto.med.or.jp/","診療所　個人"
"2613101225","特定健診・指導","さわむら内科クリニック","617-0002","075-922-5556","京都府向日市寺戸町七ノ坪１０３","http://www.kyoto.med.or.jp/","診療所　個人"
"2613101241","特定健診・指導","おかもと内科クリニック","617-0006","075-933-0222","京都府向日市上植野町切ノ口６－６","https://www.kyoto.med.or.jp/","診療所　個人"
"2613101282","特定健診・指導","ぼくクリニック糖尿病・内分泌内科・甲状腺","617-0002","075-933-2211","京都府向日市寺戸町初田２７－１０　ＭＩＮＡＭＩ　ＢＬＤＧ　２階","https://bokuclinic.com","診療所　個人"
"2613200076","特定健診・指導","和田医院","610-0331","0774-62-9393","京都府京田辺市田辺針ヶ池８－１","http://www.kyoto.med.or.jp/","診療所　個人"
"2613200084","特定健診・指導","医療法人芳松会田辺病院","610-0312","0774-62-0817","京都府京田辺市飯岡南原５５","http://www.kyoto.med.or.jp/","病院　医療法人"
"2613200126","特定健診","西村外科医院","610-0351","0774-62-3633","京都府京田辺市大住ケ丘１－１６－３","http://www.kyoto.med.or.jp/","診療所　個人"
"2613200209","特定健診・指導","医療法人社団石鎚会京都田辺中央病院","610-0334","0774-63-1111","京都府京田辺市田辺中央６－１－６","http://www.sekitetsukai.or.jp/","病院　医療法人"
"2613200217","特定健診","芳野医院","610-0343","0774-62-0051","京都府京田辺市大住関屋７－６","http://www.kyoto.med.or.jp/","診療所　個人"
"2613200258","特定健診","医療法人八木医院","610-0351","0774-62-6792","京都府京田辺市大住ケ丘３－１７－３","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613200308","特定健診・指導","田畑医院","610-0341","0774-65-4728","京都府京田辺市薪小欠２１","http://www.kyoto.med.or.jp/","診療所　個人"
"2613200340","特定健診・指導","私立山手中央診療所","610-0354","0774-64-0770","京都府京田辺市山手南１丁目３の１","http://","診療所　個人"
"2613200423","特定健診","川東整形外科","610-0341","0774-64-7211","京都府京田辺市薪茶屋前３１","http://www.kyoto.med.or.jp/","診療所　個人"
"2613200472","特定健診","三村小児科医院","610-0361","0774-62-0735","京都府京田辺市河原食田１０－５","http://www.kyoto.med.or.jp/","診療所　個人"
"2613200563","特定健診・指導","医療法人社団翔裕会あめの医院","610-0361","0774-68-5050","京都府京田辺市河原神谷８－１２","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613200589","特定健診・指導","医療法人社団石鎚会田辺記念病院","610-0331","0774-63-1112","京都府京田辺市田辺戸絶１番地","http://www.sekitetsukai.or.jp/","病院　医療法人"
"2613200621","特定健診・指導","医療法人社団石鎚会松井山手クリニック","610-0357","0774-63-1115","京都府京田辺市山手東２－３Ｄ１０１","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613200639","特定健診","医療法人池崎内科医院","610-0361","0774-63-5350","京都府京田辺市河原神谷１０－７","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613200688","特定健診・指導","医療法人　井出産婦人科","610-0362","0774-65-4433","京都府京田辺市東西神屋４３番地","https://www.kyoto.med.or.jp/","診療所　医療法人"
"2613200696","特定健診","医療法人おかもと医院","610-0343","0774-64-7380","京都府京田辺市大住大欠７－１","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613200720","特定健診・指導","岡本医院","610-0311","0774-63-5775","京都府京田辺市草内穴口７番地","http://www.kyoto.med.or.jp/","診療所　個人"
"2613200746","特定健診・指導","高橋医院","610-0313","0774-62-1216","京都府京田辺市三山木中央６丁目３番地１","http://www.kyoto.med.or.jp/","診療所　個人"
"2613200761","特定健診・指導","うえむら内科医院","610-0332","0774-79-0114","京都府京田辺市興戸東垣内８５－５","http://www.kyoto.med.or.jp/","診療所　個人"
"2613200852","特定健診","医療法人　翔隆会　寺島クリニック","610-0361","0774-63-2334","京都府京田辺市河原御影３０番地４０","http://www.terashimaclinic.sakura.ne.jp","診療所　医療法人"
"2613200860","特定健診・指導","医療法人　新生会　伊原内科医院","610-0353","0774-62-6448","京都府京田辺市松井ケ丘四丁目３番地１６","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613200878","特定健診・指導","医療法人　浜口キッズクリニック","610-0353","0774-68-1581","京都府京田辺市松井ケ丘三丁目１番９","http://www.hamaguchi-kids.com","診療所　医療法人"
"2613200886","特定健診","医療法人社団石鎚会三山木中央クリニック","610-0313","0774-63-8001","京都府京田辺市三山木中央三丁目３番地５","https://www.kyoto.med.or.jp/","診療所　医療法人"
"2613200936","特定健診","医療法人桜栄会　山田医院","610-0361","0774-63-0315","京都府京田辺市河原神谷１１番地８","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613200977","特定健診","医療法人新田クリニック","610-0357","0774-62-1120","京都府京田辺市山手東一丁目６番地２ハチセンビル２号館１階","http://kyoto-n-clinic.com","診療所　医療法人"
"2613201017","特定健診","たけむらクリニック","610-0334","0774-64-7870","京都府京田辺市田辺中央４丁目２番１５","http://www.kyoto.med.or.jp/","診療所　個人"
"2613201033","特定健診","医療法人宏心会　まつまえ循環器内科クリニック","610-0313","0774-66-7971","京都府京田辺市三山木中央四丁目２番地８三山木クリニックモール１Ｆ","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613201041","特定健診・指導","医療法人社団石鎚会同志社山手病院","610-0315","0774-63-1113","京都府京田辺市同志社山手二丁目２番","http://www.kyoto.med.or.jp/","病院　医療法人"
"2613201082","特定健診・指導","医療法人さわい内科医院","610-0352","0774-63-7025","京都府京田辺市花住坂一丁目６５番地１３","https://www.kyoto.med.jp/","診療所　医療法人"
"2613201090","特定健診・指導","医療法人社団石鎚会　田辺中央クリニック","610-0334","0774-62-2255","京都府京田辺市田辺中央六丁目３番地２マジェスティ・セントラルビル２Ｆ","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613201116","特定健診","医療法人優志会　ちゅうしょクリニック","610-0355","0774-68-1002","京都府京田辺市山手西二丁目２番地１０日東センタービル２Ｆ","https://www.kyoto.med.or.jp/","診療所　医療法人"
"2613201124","特定健診","さわ　内科・内視鏡クリニック","610-0315","0774-34-1356","京都府京田辺市同志社山手１丁目１－１　フォレストモール京田辺","https://www.kyoto.med.or.jp/","診療所　個人"
"2613300017","特定健診・指導","公益財団法人丹後中央病院","627-8555","0772-62-0791","京都府京丹後市峰山町杉谷１５８ー１","http://www.kyoto.med.or.jp/","病院　その他の法人"
"2613300108","特定健診","公益社団法人京都保健会たんご協立診療所","629-2502","0772-68-5017","京都府京丹後市大宮町河辺３３６８－１","http://www.kyoto-hokenkai.or.jp/tango","診療所　その他の法人"
"2613400080","特定健診","医療法人川西診療所","622-0001","0771-62-0139","京都府南丹市園部町宮町３６","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613400130","特定健診・指導","廣野医院","622-0017","0771-62-0218","京都府南丹市園部町若松町１１５","http://www.kyoto.med.or.jp/","診療所　個人"
"2613400148","特定健診","医療法人仁丹医院","622-0016","0771-62-0234","京都府南丹市園部町河原町４－１３","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613400270","特定健診","きむら診療所","629-0134","0771-43-0860","京都府南丹市八木町西田北条３０－２","http://www.kyoto.med.or.jp/","診療所　個人"
"2613400288","特定健診・指導","学校法人明治東洋医学院明治国際医療大学附属病院","629-0392","0771-72-1221","京都府南丹市日吉町保野田ヒノ谷６－１","http://www.kyoto.med.or.jp/","病院　大学病院(私立)"
"2613400296","特定健診","胡麻佐野診療所","629-0311","0771-74-0022","京都府南丹市日吉町胡麻才ノ本４","http://www.kyoto.med.or.jp/","診療所　個人"
"2613400304","特定健診","藤岡五ケ荘診療所","629-0322","0771-73-0203","京都府南丹市日吉町四ツ谷堂中２５","http://www.kyoto.med.or.jp/","診療所　個人"
"2613400320","特定健診","医療法人吉田医院","629-0341","0771-72-0022","京都府南丹市日吉町殿田尾崎８","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613400338","特定健診","南丹市国民健康保険美山林健センター診療所","601-0762","0771-76-0201","京都府南丹市美山町鶴ヶ岡釈迦堂前１４番地１","http://www.kyoto.med.or.jp/","診療所　官公立"
"2613400346","特定健診","冨井内科医院","622-0051","0771-68-2550","京都府南丹市園部町横田３－１５１","http://www.kyoto.med.or.jp/","診療所　個人"
"2613400379","特定健診","山田医院","629-0141","0771-42-2306","京都府南丹市八木町八木鹿草３４","http://","診療所　個人"
"2613400395","特定健診・指導","西田医院","622-0002","0771-68-1105","京都府南丹市園部町美園町３号３番地","http://www.kyoto.med.or.jp/","診療所　個人"
"2613400411","特定健診","医療法人社団菫会園部病院","622-0002","0771-62-0515","京都府南丹市園部町美園町５号８番地７","http://www.kyoto.med.or.jp/","病院　医療法人"
"2613400429","特定健診","南丹市国民健康保険南丹みやま診療所","601-0722","0771-75-1113","京都府南丹市美山町安掛下８番地","http://www.city.nantan.kyoto.jp","診療所　官公立"
"2613400437","特定保健指導","医療法人社団恵心会美山四季の里診療所ＳＤ","601-0715","0771-85-2835","京都府南丹市美山町下宮ノ上ミ１４番地１","https://seven-dream.org/place/#medical-care","診療所　医療法人"
"2613500012","特定健診","医療法人社団柳沢診療所","619-0204","0774-86-2051","京都府木津川市山城町上狛東作り道５－１","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500038","特定健診","医療法人社団岡田医院","619-0201","0774-86-3036","京都府木津川市山城町綺田神ノ木８６","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500046","特定健診","医療法人若菜医院","619-0205","0774-86-2064","京都府木津川市山城町椿井舟戸２７－１","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500053","特定健診","小沢医院","619-0202","0774-86-0630","京都府木津川市山城町平尾南払戸１１２","http://www.kyoto.med.or.jp/","診療所　個人"
"2613500079","特定健診","藤川医院","619-0222","0774-72-5811","京都府木津川市相楽川の尻８１－１","http://www.kyoto.med.or.jp/","診療所　個人"
"2613500103","特定健診","医療法人社団飯田医院","619-0217","0774-72-0055","京都府木津川市木津町瓦谷５６","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500178","特定健診","橋本医院","619-0214","0774-73-0440","京都府木津川市木津清水８９","http://www.kyoto.med.or.jp/","診療所　個人"
"2613500186","特定健診・指導","とうじ診療所","619-0222","0774-73-3895","京都府木津川市相楽大徳５５－４","","診療所　個人"
"2613500194","特定健診・指導","医療法人錦見医院","619-0223","0774-72-9395","京都府木津川市相楽台９－３－７","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500236","特定健診","つなもと医院","619-0224","0774-71-5400","京都府木津川市兜台３－３－１","http://www.kyoto.med.or.jp/","診療所　個人"
"2613500244","特定健診・指導","あさの内科クリニック","619-0225","0774-73-5888","京都府木津川市木津川台７－１－３","http://www.kyoto.med.or.jp/","診療所　個人"
"2613500251","特定健診・指導","医療法人社団いさじ医院","619-0214","0774-75-2153","京都府木津川市木津西小林１０－１","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500269","特定健診・指導","松尾クリニック","619-0216","0774-75-2259","京都府木津川市州見台５丁目２１番地４","","診療所　個人"
"2613500301","特定健診","医療法人メディカル．ウェルフェアーきゅうまウィメンズクリニック","619-0216","0774-71-8163","京都府木津川市州見台７－１－２８","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500319","特定健診・指導","医療法人周寿会はただ診療所","619-0213","0774-73-8880","京都府木津川市市坂六本木７６","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500327","特定健診","医療法人小堤医院","619-0216","0774-73-2554","京都府木津川市州見台３－８－５","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500335","特定健診","医療法人広和会山下医院","619-0222","0774-72-7650","京都府木津川市相楽高下４６","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500343","特定健診","医療法人晃和会いとうクリニック","619-0214","0774-71-5511","京都府木津川市木津池田３４－６","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500368","特定健診","医療法人ふるかわ医院","619-0221","0774-75-2650","京都府木津川市吐師宮ノ前１５－１８","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500376","特定健診","つじのうえクリニック","619-0216","0774-73-9293","京都府木津川市州見台７－１－１４","http://www.kyoto.med.or.jp/","診療所　個人"
"2613500384","特定健診・指導","医療法人松森内科医院","619-0214","0774-73-0669","京都府木津川市木津川原田２７－３","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500426","特定健診・指導","山本医院","619-1127","0774-76-4856","京都府木津川市南加茂台９－１９－７","http://www.kyoto.med.or.jp/","診療所　個人"
"2613500434","特定健診","岡村耳鼻咽喉科医院","619-1127","0774-76-7126","京都府木津川市南加茂台９丁目１９－２","http://www.kyoto.med.or.jp/","診療所　個人"
"2613500442","特定健診","小川医院","619-1127","0774-76-7100","京都府木津川市南加茂台９－１７－２","http://www.kyoto.med.or.jp/","診療所　個人"
"2613500467","特定健診","医療法人白鷺会松井内科・整形外科医院","619-1142","0774-76-7741","京都府木津川市加茂町大野ウヅ７３","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500475","特定健診・指導","池田医院","619-1152","0774-76-8127","京都府木津川市加茂町里新戸７１","http://www.kyoto.med.or.jp/","診療所　個人"
"2613500509","特定健診","中島整形外科","619-0221","0774-71-4343","京都府木津川市吐師南中条５－１","http://www.kyoto.med.or.jp/","診療所　個人"
"2613500533","特定健診","医療法人吉村医院","619-1154","0774-76-8424","京都府木津川市加茂町駅東２－６－１２","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500574","特定健診","華クリニック","619-0224","0774-72-2747","京都府木津川市兜台４丁目３－９","http://www.kyoto.med.or.jp/","診療所　個人"
"2613500640","特定健診・指導","医療法人　逸歩会　こいし整形外科","619-0216","0774-73-5738","京都府木津川市州見台八丁目４－８","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500657","特定健診","医療法人正茂会小出医院","619-0224","0774-72-9090","京都府木津川市兜台７丁目５番地９","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2613500673","特定健診・指導","河村医院","619-0223","0774-72-0130","京都府木津川市相楽台２－２－１５","http://www.kawamura-iin.com/","診療所　個人"
"2613500681","特定健診","もろいクリニック","619-0218","0774-66-1814","京都府木津川市城山台７丁目４３－３","http://www.kyoto.med.or.jp/","診療所　個人"
"2613500723","特定健診・指導","たけもとクリニック","619-0215","0774-75-1122","京都府木津川市梅美台１－１－１フォレストモール木津川","http://www.kyoto.med.or.jp/","診療所　個人"
"2613500731","特定健診","山口医院","619-1152","0774-76-0505","京都府木津川市加茂町里南古田１３４","http://www.kyoto.med.or.jp/","診療所　個人"
"2613500814","特定健診","つつみクリニック","619-0214","0774-72-0223","京都府木津川市木津池田２０－８","https://www.kyoto.med.or.jp/","診療所　個人"
"2613500848","特定健診","かわばたクリニック","619-0218","0774-34-3450","京都府木津川市城山台１０丁目３７番１","https://kawabata-cl.jp","診療所　個人"
"2613500871","特定健診・指導","さかうえクリニック","619-0218","0774-73-0255","京都府木津川市城山台７－４３－３","https://www.kuro-clinic.com","診療所　個人"
"2614000095","特定健診・指導","社会福祉法人京都社会事業財団京都桂病院","615-8256","075-391-5811","京都府京都市西京区山田平尾町１７","","病院　社会福祉法人"
"2614000715","特定健診・指導","医療法人清仁会シミズ病院","615-8237","075-381-5161","京都府京都市西京区山田中吉見町１１－２","http://www.kyoto.med.or.jp/","病院　医療法人"
"2614001184","特定健診・指導","医療法人たちいり整形外科","615-8024","075-391-0020","京都府京都市西京区桂西滝川町５２","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2614001234","特定健診・指導","医療法人清仁会洛西シミズ病院","610-1106","075-331-8778","京都府京都市西京区大枝沓掛町１３－１０７","http://www.shimizu-hospital.or.jp/","病院　医療法人"
"2614001309","特定健診・指導","林樫原診療所","615-8125","075-381-2226","京都府京都市西京区川島調子町４４","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2614001424","特定健診・指導","医療法人かまの外科医院","610-1112","075-333-0805","京都府京都市西京区大枝北福西町３－２－１０","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2614001432","特定健診・指導","医療法人社団稲掛医院","610-1113","075-332-0111","京都府京都市西京区大枝南福西町２－１３－１２","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2614001556","特定健診・指導","医療法人社団岩瀬医院","615-8206","075-381-5812","京都府京都市西京区松室追上ゲ町１８－１６","http://iwaseiin.com","診療所　医療法人"
"2614001564","特定健診・指導","医療法人今井内科医院","615-8226","075-381-8691","京都府京都市西京区上桂森上町１９－４","http://www3.plala.or.jp/imainaika","診療所　医療法人"
"2614001572","特定健診・指導","大八木循環器内科医院","615-8231","075-393-7800","京都府京都市西京区御陵溝浦町２６","http://home.att.ne.jp/yellow/oyagi/","診療所　個人"
"2614001614","特定健診・指導","山内医院","615-8196","075-393-5576","京都府京都市西京区川島尻堀町４１－９","http://www.kyoto.med.or.jp/","診療所　個人"
"2614001648","特定健診・指導","武田医院","615-8228","075-381-2026","京都府京都市西京区上桂西居町１－４","","診療所　個人"
"2614001663","特定健診","武田整形外科医院","615-8191","075-381-3106","京都府京都市西京区川島有栖川町８","","診療所　個人"
"2614001770","特定健診・指導","医療法人そがべ医院","615-8064","075-392-8823","京都府京都市西京区下津林水掛町４－２","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2614001804","特定健診・指導","医療法人野原診療所","615-8075","075-381-5840","京都府京都市西京区桂巽町５７－４","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2614001820","特定健診・指導","高岡医院","615-8037","075-392-8101","京都府京都市西京区下津林大盤若町１６６","http://www.kyoto.med.or.jp/","診療所　個人"
"2614001846","特定健診・指導","医療法人タニムラ医院","615-8073","075-392-6811","京都府京都市西京区桂野里町４１番地７５　２階","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2614001861","特定健診・指導","岡田外科医院","615-8083","075-381-3735","京都府京都市西京区桂艮町１８","","診療所　個人"
"2614001911","特定健診・指導","中尾整形外科医院","616-0023","075-865-1615","京都府京都市西京区嵐山宮ノ前町１－３","http://www.kyoto.med.or.jp/","診療所　個人"
"2614001945","特定健診・指導","医療法人博仁会大藪大枝クリニック","610-1106","075-331-0100","京都府京都市西京区大枝沓掛町２－３２","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2614001952","特定健診・指導","おおやぶ内科・整形外科","615-8142","075-381-2716","京都府京都市西京区樫原畔ノ海道１０－４２","http://oyabu-clinic.or.jp","診療所　医療法人"
"2614002026","特定健診・指導","あしだ内科循環器科","615-8212","075-383-5315","京都府京都市西京区上桂北ノ口町６７番地","http://www.kyoto.med.or.jp/","診療所　個人"
"2614002042","特定健診・指導","くろさわ医院","615-8191","075-383-6543","京都府京都市西京区川島有栖川町５３　桂駅西口シンビル１Ｆ","http://www.kyoto.med.or.jp/","診療所　個人"
"2614002059","特定健診・指導","石田医院","610-1102","075-335-5707","京都府京都市西京区御陵大枝山町五丁目２７番地３","http://www.kyoto.med.or.jp/","診療所　個人"
"2614002083","特定健診・指導","まつい内科呼吸器科医院","610-1104","075-335-0100","京都府京都市西京区大枝中山町７－７２エム’ズ京都洛西","http://www.kyoto.med.or.jp/","診療所　個人"
"2614002117","特定健診・指導","医療法人北村内科診療所","615-8281","075-393-3262","京都府京都市西京区松尾木ノ曽町３６－１","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2614002190","特定健診・指導","宮本医院","615-8083","075-391-2323","京都府京都市西京区桂艮町１５－１","http://www.kyoto.med.or.jp/","診療所　個人"
"2614002208","特定健診・指導","井田医院","615-8281","075-381-9572","京都府京都市西京区松尾木ノ曽町５８－１５","http://www.kyoto.med.or.jp/","診療所　個人"
"2614002232","特定健診・指導","医療法人緒方医院","610-1102","075-335-5500","京都府京都市西京区御陵大枝山町４－２４－１","http://www004.upp.so-net.ne.jp/ogata-clinic","診療所　医療法人"
"2614002273","特定健診・指導","医療法人創志会しくま脳神経外科クリニック","615-8224","075-381-3000","京都府京都市西京区上桂三ノ宮町８０－１","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2614002372","特定健診・指導","福）西山福祉会大原野クリニック","610-1134","075-335-0801","京都府京都市西京区大原野石作町２５６番地１","http://www.kyoto.med.or.jp/","診療所　社会福祉法人"
"2614002380","特定健診・指導","医療法人林クリニック","610-1127","075-333-0102","京都府京都市西京区大原野上里鳥見町１４番地８","http://","診療所　医療法人"
"2614002406","特定健診・指導","医療法人矢野小児科循環器内科医院","610-1141","075-331-3951","京都府京都市西京区大枝西新林町四丁目２番地","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2614002422","特定健診・指導","医）さんゆう会内科胃腸内科小林クリニック","615-8282","075-382-1353","京都府京都市西京区松尾大利町１１－１松尾メディカル・スクエア１階","http://","診療所　医療法人"
"2614002430","特定健診・指導","山口医院","610-1141","075-331-5595","京都府京都市西京区大枝西新林町５丁目２番地","http://www.kyoto.med.or.jp/","診療所　個人"
"2614002539","特定健診・指導","医療法人清仁会　洛西ニュータウン病院","610-1142","075-332-0123","京都府京都市西京区大枝東新林町３丁目６番地","http://www.shimizu-hospital.or.jp/newtown/","病院　医療法人"
"2614002547","特定健診・指導","医療法人　久仁会　どいクリニック","610-1126","075-331-3661","京都府京都市西京区大原野上里男鹿町１５番地１３","http://doi-cln.jp","診療所　医療法人"
"2614002554","特定健診・指導","かさはら内科医院","615-8191","075-393-2333","京都府京都市西京区川島有栖川町４４－１　ゲレンク　タケダ　Ｗ１","http://www.kyot.med.or.jp/","診療所　個人"
"2614002562","特定健診・指導","坂本内科クリニック","615-8074","075-754-7877","京都府京都市西京区桂南巽町１４６グラシューズ桂３Ｆ","http://www.kyoto.med.or.jp/","診療所　個人"
"2614002588","特定健診・指導","医療法人緑祐会　松原医院","615-8072","075-381-2215","京都府京都市西京区桂木ノ下町３３番地１４","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2614002604","特定健診・指導","医療法人敬愛会　まつざき内科クリニック","615-8101","075-391-6161","京都府京都市西京区川島東代町１０番地","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2614002612","特定健診・指導","ふなきクリニック","610-1112","075-335-0220","京都府京都市西京区大枝北福西町二丁目１２－１","http://www.kyoto.med.or.jp/","診療所　個人"
"2614002620","特定健診・指導","のはらクリニック","615-8074","075-963-6133","京都府京都市西京区桂南巽町５９","http://www.kyoto.med.or.jp/","診療所　個人"
"2614002646","特定健診・指導","医療法人いわせ内科クリニック","615-8103","075-382-3358","京都府京都市西京区川島六ノ坪町６３番地１メディキューブ洛西口３階","http://www.iwasenaika-cl.com/","診療所　医療法人"
"2614002661","特定健診・指導","医療法人公手内科・消化器内科医院","615-8184","075-382-0616","京都府京都市西京区樫原水築町１３－２ウェストポイント１Ｆ","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2614002679","特定健診・指導","嵐山さかい医院","616-0014","075-406-5951","京都府京都市西京区嵐山谷ケ辻子町３８－６","http://www.kyoto.med.or.jp/","診療所　個人"
"2614002687","特定健診・指導","塩見内科医院","610-1142","075-331-5911","京都府京都市西京区大枝東新林町３丁目１番地","http://www.kyoto.med.or.jp/","診療所　個人"
"2614002703","特定健診・指導","医療法人濱本医院","610-1126","075-332-0155","京都府京都市西京区大原野上里男鹿町３番地３","http://www.kyoto.med.or.jp/","診療所　医療法人"
"2614002786","特定健診・指導","なかつかさ足立医院","615-8073","075-393-2747","京都府京都市西京区桂野里町１２","http://www.kyoto.med.or.jp/","診療所　個人"
"2614002802","特定健診・指導","医療法人社団タケダ内科医院","610-1143","075-332-7702","京都府京都市西京区大原野東境谷町２丁目５－９","http://takedanaika.jp","診療所　医療法人"
"2614002828","特定健診・指導","谷村内科クリニック","615-8073","075-392-6644","京都府京都市西京区桂野里町４１－７５　１Ｆ","http://www.kyoto.med.or.jp/","診療所　個人"
"2614002984","特定健診・指導","医療法人京都翔医会　西京都クリニック","615-8231","075-383-5020","京都府京都市西京区御陵溝浦町２６番１４","https://www.kyoto.med.or.jp/","診療所　医療法人"
"2614003008","特定健診・指導","医療法人京都翔医会　西京都病院","615-8004","075-381-5166","京都府京都市西京区桂畑ケ田町１７５番地","https://www.kyoto.med.or.jp/","病院　医療法人"
"2614003016","特定健診・指導","日ノ下医院","615-8074","075-383-1555","京都府京都市西京区桂南巽町９１－４","https://www.kyoto.med.or.jp/","診療所　個人"
"2614003057","特定健診・指導","ちょう桂坂中央クリニック","610-1102","075-335-0077","京都府京都市西京区御陵大枝山町４丁目３２の２桂坂中央ビル２階","https://katsurazaka-clinic.com","診療所　個人"
"2614003107","特定健診・指導","医療法人　在宅会　みんなのクリニック桂","615-8074","075-406-6073","京都府京都市西京区桂南巽町３８番の１","https://www.kyoto.med.or.jp/","診療所　医療法人"
"2614003123","特定健診・指導","医療法人グロース桂川さいとう内科循環器クリニック","615-8036","075-394-3456","京都府京都市西京区下津林南大般若町３７番地リペアス下津林２Ｆ","https://www.kyoto.med.or.jp/","診療所　医療法人"
"2614003131","特定健診・指導","植松医院","615-8102","075-392-1438","京都府京都市西京区川島松ノ木本町５の７","https://www.kyoto.med.or.jp/","診療所　個人"
"2614003149","特定健診・指導","医療法人京都翔医会　洛西西京都クリニック","610-1143","075-333-0111","京都府京都市西京区大原野東境谷町２丁目５－８","https://www.kyoto.med.or.jp/","診療所　医療法人"
"2614003164","特定健診・指導","おかだ泌尿器科クリニック","615-8073","075-874-1822","京都府京都市西京区桂野里町１７　ミュー阪急桂５階","https://www.kyoto.med.or.jp/","診療所　個人"
"2614003180","特定健診・指導","医療法人社団志高会　三菱京都病院","615-8087","075-381-2111","京都府京都市西京区桂御所町１番地","https://www.mitsubishi-hp.jp","病院　医療法人"
"2614003198","特定健診・指導","桂川くすもと内科・消化器クリニック","615-8004","075-393-8855","京都府京都市西京区桂畑ケ田町６３　桂クリニックビル２Ｆ","https://www.kyoto.med.or.jp/","診療所　個人"
"2614003222","特定健診・指導","医療法人とだ消化器内科クリニック","615-8084","075-383-1181","京都府京都市西京区桂坤町２９番地１０","https://www.kyoto.med.or.jp/","診療所　医療法人"
"2614100242","特定健診・指導","一般社団法人愛生会山科病院","607-8086","075-594-2323","京都府京都市山科区竹鼻四丁野町１９－４","http://www.kyoto.med.or.jp/","病院　その他の法人"
